2,1,Cairo,10:00:00.0000000,"Arrival in Cairo, a visit to the famous Egyptian Museum and the Pyramids of Giza for an awe-inspiring experience."
2,2,Luxor,07:30:00.0000000,"Early morning departure to Luxor, visit the Valley of the Kings and Karnak Temple to explore ancient Egyptian history."
2,3,Aswan,09:00:00.0000000,"Board a cruise to Aswan, visit the Temple of Philae, and enjoy the Nile River cruise experience."
2,4,Abu Simbel,05:00:00.0000000,Early morning excursion to Abu Simbel to witness the impressive temples of Ramses II and his queen Nefertari.
2,5,Cairo,14:00:00.0000000,"Return to Cairo, explore Islamic Cairo, and visit the famous Khan El Khalili Bazaar for souvenirs and local crafts."
3,1,Mecca,06:00:00.0000000,"Arrival in Mecca, prepare for the Hajj pilgrimage with a tour of the Masjid al-Haram and the Kaaba."
3,2,Mecca,07:00:00.0000000,Perform the Tawaf around the Kaaba and offer prayers at the Masjid al-Haram.
3,3,Arafat,08:00:00.0000000,"Travel to Arafat for the day of Arafat, where pilgrims pray and seek forgiveness in preparation for the next rituals."
3,4,Mina,10:00:00.0000000,Proceed to Mina for the symbolic stoning of the Devil and the sacrifice of an animal in accordance with tradition.
3,5,Mecca,11:00:00.0000000,Return to Mecca for the final Tawaf of Hajj and a spiritual reflection after completing the pilgrimage rituals.
4,1,Maldives,09:00:00.0000000,"Arrive in the Maldives, check in to the luxury resort, and relax on the white sandy beaches with crystal-clear water."
4,2,Maldives,11:00:00.0000000,"Enjoy a guided snorkeling tour of the coral reefs, followed by a romantic sunset cruise on a traditional Maldivian boat."
4,3,Maldives,07:30:00.0000000,Take a private seaplane ride for a scenic view of the atolls and indulge in a spa treatment by the ocean.
4,4,Maldives,10:00:00.0000000,Spend the day exploring the underwater world through a glass-bottom boat or scuba diving.
4,5,Maldives,09:30:00.0000000,Enjoy a leisurely breakfast by the beach followed by a day of relaxation and swimming in the tranquil waters.
5,1,Nairobi,10:00:00.0000000,"Arrive in Nairobi, take a guided city tour, and visit the Giraffe Center to see endangered giraffes up close."
5,2,Amboseli National Park,07:00:00.0000000,"Drive to Amboseli National Park for a morning safari, where you will see elephants and enjoy a view of Mount Kilimanjaro."
5,3,Amboseli National Park,06:30:00.0000000,"Early morning game drive in Amboseli, followed by a visit to a Maasai village to learn about their culture."
5,4,Masai Mara,10:00:00.0000000,Transfer to Masai Mara for a full day of safari in one of Africas most famous wildlife reserves.
5,5,Masai Mara,06:00:00.0000000,"Morning game drive in Masai Mara, seeking the Big Five—lion, elephant, buffalo, leopard, and rhino."
6,1,Phuket,09:00:00.0000000,"Arrive in Phuket, relax at your beach resort, and enjoy the stunning coastal views."
